Country,Continent,female_literacy,fertility,population
Chine,ASI,91,1.77,1324655000
Inde,ASI,51,2.68,1139964932
USA,NAM,99,2.08,304060000
Indonésie,ASI,89,2.13,227345082
Brésil,LAT,90,1.83,191971506
Pakistan,ASI,40,3.87,166111487
Bangladesh,ASI,50,2.29,160000128
Nigéria,AF,49,5.17,151212254
Fédération de Russie,EUR,99,1.39,141950000
Japan,ASI,99,1.26,127704000
Mexico,NAM,92,2.16,106350434
Philippines,ASI,94,3.03,90348437
Viet Nam,ASI,90,2.03,86210781
Germany,EUR,99,1.32,82110097
Egypte,AF,58,2.82,81527172
Ethiopie,AF,23,5.21,80713434
Turquie,ASI,81,2.11,73914260
"Iran, République islamique d'",ASI,77,1.78,71956322
Thaïlande,ASI,92,1.82,67386383
Rép. Démocratique du Congo,AF,56,5.91,64256635
France,EUR,99,1.88,62277432
UK,EUR,99,1.85,61414062
Italie,EUR,99,1.39,59832179
Myanmar,ASI,89,2.28,49563019
Afrique du Sud,AF,88,2.51,48687000
South Korea,ASI,97,1.22,48607000
Ukraine,EUR,100,1.36,46258200
Espagne,EUR,97,1.47,45555716
Colombia,LAT,93,2.4,45012096
République-Unie de Tanzanie,AF,66,5.52,42483923
Soudan,AF,60,4.06,41347723
Argentine,LAT,98,2.22,39882980
Kenya,AF,83,4.86,38765312
Pologne,EUR,99,1.27,38125759
Algérie,AF,64,2.34,34373426
Canada,NAM,99,1.58,33311400
Ouganda,AF,67,6.25,31656865
Maroc,AF,44,2.33,31605616
Iraq,ASI,69,3.96,30711152
Afghanistan,ASI,13,6.51,29021099
Pérou,LAT,85,2.53,28836700
Népal,ASI,45,2.82,28809526
Venezuela,LAT,95,2.5,27935000
Ouzbékistan,ASI,99,2.25,27313700
Malaisie,ASI,90,2.51,27014337
Arabie saoudite,ASI,80,3.04,24645686
Rép. populaire démocratique de Corée,ASI,100,1.85,23818753
Ghana,AF,59,4.22,23350927
Yémen,ASI,43,5.1,22917485
Mozambique,AF,40,4.97,22382533
Roumanie,EUR,97,1.33,21513622
Côte d'Ivoire,AF,44,4.51,20591302
République arabe syrienne,ASI,77,3.17,20581290
Sri Lanka,ASI,89,2.31,20156204
Madagascar,AF,65,4.62,19110941
Cameroun,AF,68,4.54,19088385
Angola,AF,57,5.64,18020668
Chili,LAT,99,1.93,16803952
Netherlands,EUR,99,1.75,16445593
Kazakhstan,ASI,100,2.29,15674833
Burkina Faso,AF,22,5.84,15233884
Malawi,AF,66,5.46,14846182
Niger,AF,15,7.07,14704318
Cambodge,ASI,71,2.86,14562008
Guatemala,LAT,69,4.02,13686128
Equateur,LAT,82,2.51,13481424
Mali,AF,18,5.41,12705736
Zambie,AF,61,5.74,12620219
Zimbabwe,AF,89,3.36,12462879
Sénégal,AF,33,4.89,12211181
Grèce,EUR,96,1.39,11237094
Cuba,LAT,100,1.51,11204735
Tchad,AF,22,6.08,10913667
Belgium,EUR,99,1.78,10708433
Portugal,EUR,93,1.38,10622413
Czech rep,EUR,99,1.45,10424336
Tunisie,AF,71,1.84,10327800
Hongrie,EUR,99,1.37,10038188
République dominicaine,LAT,88,2.61,9952711
Guinée,AF,26,5.33,9833055
Rwanda,AF,66,5.33,9720694
Bolivie,LAT,86,3.37,9694113
Bélarus,EUR,100,1.28,9680850
Sweden,EUR,99,1.87,9219637
Azerbaïdjan,ASI,99,2.15,8680100
Bénin,AF,28,5.38,8662086
Burundi,AF,60,4.45,8074254
Switzerland,EUR,99,1.46,7647675
Bulgarie,EUR,98,1.44,7623395
Serbie,EUR,96,1.61,7350221
Honduras,LAT,84,3.19,7318789
Israel,ASI,96,2.75,7308800
Tadjikistan,ASI,100,3.35,6836083
Papouasie-Nouvelle-Guinée,OCE,56,4.01,6576822
Togo,AF,54,4.17,6458605
Jamahiriya arabe libyenne,AF,81,2.64,6294181
Paraguay,LAT,94,2.98,6237855
Rép. démocratique populaire lao,ASI,63,3.42,6205341
El Salvador,LAT,81,2.3,6133910
Jordanie,ASI,89,3.02,5906043
Nicaragua,LAT,78,2.68,5667325
Sierra Leone,AF,29,5.17,5559853
Denmark,EUR,99,1.85,5493621
Finland,EUR,100,1.84,5313399
Kirghizistan,ASI,99,2.52,5277900
Turkménistan,ASI,99,2.43,5043618
Erythrée,AF,55,4.53,4926877
Singapour,ASI,92,1.26,4839400
Norway,EUR,100,1.89,4768212
Costa Rica,LAT,96,1.94,4519126
Emirats arabes unis,ASI,92,1.9,4484935
Croatie,EUR,98,1.44,4434000
Ireland,EUR,99,1.95,4425675
République centrafricaine,AF,41,4.7,4339263
Géorgie,ASI,100,1.58,4307011
New Zealand,OCE,99,2.03,4268900
Liban,ASI,86,1.84,4193758
Libéria,AF,53,5.01,3793400
Bosnie-Herzégovine,EUR,96,1.21,3773100
République de Moldova,EUR,98,1.5,3633369
Panama,LAT,93,2.52,3398823
Lituanie,EUR,100,1.37,3358115
Uruguay,LAT,99,2.09,3334052
Mauritanie,AF,50,4.39,3215043
Albanie,EUR,99,1.85,3143291
Arménie,ASI,99,1.75,3077087
Oman,ASI,81,2.98,2785361
Koweït,ASI,93,2.15,2728041
Jamaïque,LAT,91,2.36,2687200
Mongolie,ASI,98,1.99,2641216
Lettonie,EUR,100,1.43,2266094
Namibie,AF,88,3.29,2129854
Lesotho,AF,95,3.26,2049429
L'ex-Rép. yougoslave de Macédoine,EUR,95,1.44,2041342
Slovénie,EUR,100,1.39,2021316
Botswana,AF,84,2.82,1921122
Gambie,AF,34,4.97,1660200
Guinée-Bissau,AF,37,5.66,1575446
Gabon,AF,83,3.24,1448159
Estonie,EUR,100,1.69,1340675
Trinité-et-Tobago,LAT,98,1.65,1333388
Qatar,ASI,90,2.36,1280862
Maurice,AF,85,1.79,1268854
Swaziland,AF,86,3.45,1167834
Chypre,EUR,97,1.52,862434
Bahreïn,ASI,89,2.23,775585
Bhoutan,ASI,39,2.56,686789
Guinée équatoriale,AF,89,5.28,659197
Comores,AF,68,3.89,643571
"Macao, Chine",ASI,91,0.97,526178
Suriname,LAT,88,2.37,515124
Cap-Vert,AF,79,2.66,498672
Malte,EUR,94,1.25,411950
Brunéi Darussalam,ASI,93,2.05,392280
Bahamas,LAT,97,3.37,337668
Iceland,EUR,99,2.09,317414
Maldives,ASI,98,2.01,305027
Vanuatu,OCE,80,3.88,233866
Samoa,OCE,99,3.85,178869
Sao Tomé-et-Principe,AF,83,3.72,160174
Aruba,LAT,98,1.73,105455
Tonga,ASI,99,3.93,103566
